subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos, obj1shape, obj1color, obj2shape, obj2color, obj3shape, obj3color, obj4shape, obj4color 
subid, subage, counter, trialtype, chosetarget, choselure, targetname, chosenname, colorasked, searchtype, choseunique, targetshape, targetcolor, targetword, distractorshape1, distractorshape2, distractorcolor1, distractorcolor2, distractorcolor3, date, timestamp, rtsearch, targetpos, lurepos 
4,6,3,2,false,true,5green.jpg,stim-images/object2green.jpg,true,sedivy,true,5,green,blicket,2,8,purple,red,None,6/26/2018,15:43,5604,3,4
4,6,4,3,false,true,1red.jpg,stim-images/object14green.jpg,false,uniquetarget,false,1,red,koba,14,None,blue,purple,green,6/26/2018,15:43,6049,3,4
4,6,5,5,false,true,3red.jpg,stim-images/object11red.jpg,false,colorfoil,false,3,red,sprock,11,None,green,purple,None,6/26/2018,15:43,4628,2,4
4,6,6,1,false,false,4purple.jpg,stim-images/object10purple.jpg,false,sedivy,true,4,purple,toma,10,6,green,blue,None,6/26/2018,15:43,3781,1,4
5,3,1,6,true,false,11red.jpg,11red.jpg,true,colorfoil,true,11,red,dax,3,None,purple,blue,None,6/26/2018,15:52,5287,1,2
5,3,2,2,true,false,8green.jpg,8green.jpg,true,sedivy,false,8,green,blicket,9,6,red,purple,None,6/26/2018,15:52,3952,1,2
5,3,3,5,true,false,5blue.jpg,5blue.jpg,false,colorfoil,true,5,blue,toma,12,None,purple,green,None,6/26/2018,15:52,4304,4,2
5,3,4,1,false,false,13green.jpg,stim-images/object1green.jpg,false,sedivy,true,13,green,koba,1,14,blue,red,None,6/26/2018,15:52,3309,1,2
5,3,5,4,true,false,7green.jpg,7green.jpg,true,uniquetarget,true,7,green,gade,2,None,blue,purple,red,6/26/2018,15:52,4553,1,2
5,3,6,3,false,false,10blue.jpg,stim-images/object4red.jpg,false,uniquetarget,false,10,blue,wug,4,None,green,purple,red,6/26/2018,15:52,4547,1,2
6,6,1,6,true,false,11red.jpg,11red.jpg,true,colorfoil,true,11,red,blicket,6,None,purple,green,None,6/26/2018,15:54,3451,4,2
6,6,2,2,false,true,10green.jpg,stim-images/object7green.jpg,true,sedivy,true,10,green,sprock,7,8,purple,red,None,6/26/2018,15:54,3399,3,2
6,6,3,3,true,false,12purple.jpg,12purple.jpg,false,uniquetarget,true,12,purple,wug,3,None,red,blue,green,6/26/2018,15:54,9417,3,2
6,6,4,1,false,false,5green.jpg,stim-images/object1green.jpg,false,sedivy,true,5,green,dax,1,9,blue,red,None,6/26/2018,15:54,8551,2,2
6,6,5,4,true,false,13red.jpg,13red.jpg,true,uniquetarget,true,13,red,gade,14,None,green,purple,blue,6/26/2018,15:54,6200,4,2
6,6,6,5,true,false,2green.jpg,2green.jpg,false,colorfoil,true,2,green,koba,4,None,purple,blue,None,6/26/2018,15:54,7565,4,1
7,5,1,6,true,false,13red.jpg,13red.jpg,true,colorfoil,true,13,red,koba,12,None,purple,blue,None,6/26/2018,15:56,4011,2,4
7,5,2,2,true,false,6green.jpg,6green.jpg,true,sedivy,false,6,green,blicket,1,10,red,blue,None,6/26/2018,15:56,4040,1,4
7,5,3,1,false,false,4blue.jpg,stim-images/object3green.jpg,false,sedivy,true,4,blue,wug,2,3,purple,green,None,6/26/2018,15:56,3558,1,4
7,5,4,5,true,false,7red.jpg,7red.jpg,false,colorfoil,true,7,red,sprock,14,None,green,blue,None,6/26/2018,15:56,5162,4,1
7,5,5,3,true,false,9green.jpg,9green.jpg,false,uniquetarget,true,9,green,toma,8,None,purple,blue,red,6/26/2018,15:56,4146,2,1
7,5,6,4,true,false,5purple.jpg,5purple.jpg,true,uniquetarget,true,5,purple,gade,11,None,green,blue,red,6/26/2018,15:56,3032,1,1
Test,0,1,6,false,false,5blue.jpg,stim-images/object1purple.jpg,true,colorfoil,false,5,blue,sprock,1,None,red,purple,None,6/28/2018,11:18,6202,2,4
Test,0,2,1,false,false,4purple.jpg,stim-images/object13green.jpg,false,sedivy,true,4,purple,dax,8,13,blue,green,None,6/28/2018,11:18,7577,4,4
Test,0,3,3,true,false,6blue.jpg,6blue.jpg,false,uniquetarget,true,6,blue,blicket,12,None,purple,green,red,6/28/2018,11:18,4640,1,4
Test,0,4,2,false,false,10green.jpg,stim-images/object10red.jpg,true,sedivy,false,10,green,koba,11,7,red,blue,None,6/28/2018,11:18,4270,1,4
Test,NaN,1,3,false,false,2blue.jpg,stim-images/object5red.jpg,false,uniquetarget,false,2,blue,sprock,5,None,purple,red,green,6/28/2018,11:19,4365,1,0
Test,NaN,1,3,true,false,13green.jpg,13green.jpg,false,uniquetarget,true,13,green,gade,5,None,red,blue,purple,6/28/2018,11:21,3966,3,0
Test,NaN,2,2,false,false,11red.jpg,stim-images/object14red.jpg,true,sedivy,true,11,red,wug,14,9,green,purple,None,6/28/2018,11:21,9061,2,0
Test,NaN,3,4,false,false,10red.jpg,stim-images/object12purple.jpg,true,uniquetarget,false,10,red,dax,12,None,green,blue,purple,6/28/2018,11:21,3181,2,0
0,0,1,4,false,false,10green.jpg,stim-images/object7red.jpg,true,uniquetarget,false,10,green,koba,7,None,blue,red,purple,6/28/2018,11:21,6125,4,0
0,0,2,5,true,false,2red.jpg,2red.jpg,false,colorfoil,true,2,red,toma,12,None,green,purple,None,6/28/2018,11:21,3154,1,3
0,0,1,1,true,false,2blue.jpg,2blue.jpg,false,sedivy,false,2,blue,blicket,13,1,green,purple,None,6/28/2018,11:22,3176,3,0
0,0,2,4,false,false,10red.jpg,stim-images/object4purple.jpg,true,uniquetarget,false,10,red,sprock,4,None,blue,purple,green,6/28/2018,11:22,3110,3,0
0,0,3,5,false,false,7blue.jpg,stim-images/object11red.jpg,false,colorfoil,false,7,blue,toma,11,None,red,green,None,6/28/2018,11:22,2882,2,3
Test,NaN,1,1,false,false,8green.jpg,stim-images/object8blue.jpg,false,sedivy,false,8,green,toma,10,13,blue,purple,None,6/28/2018,12:30,4957,4,0
